ID,TypeID,Notes,Verified,Tags,Confidence,Version,ParentID,Created,Label,Username,LastModified
1,1,"Probable Rod Bipolar cell
*****BEGIN MERGE FROM 26243*****
Possible branch off C1
*****END MERGE FROM 26243*****
41721,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs8Wo=,2455,2020-01-07T18:46:53.56-08:00,,JHY             ,2020-01-07T18:46:53.56-08:00
41722,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs8Ww=,2455,2020-01-07T18:46:58.86-08:00,,JHY             ,2020-01-07T18:46:58.86-08:00
41723,1,Probably goes off edge here : X: 23569.1	Y: 30123.6	Z: 992	DS: 1.14,False,,0.5,AAAAAAAs8bs=,,2020-01-07T18:47:09.923-08:00,,rpfeiffer       ,2020-01-07T20:27:28.02-08:00
41724,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs8b0=,41723,2020-01-07T18:47:16.01-08:00,,rpfeiffer       ,2020-01-07T20:27:28.02-08:00
41725,85,,False,,0.5,AAAAAAAs8XU=,2455,2020-01-07T18:47:29.087-08:00,,JHY             ,2020-01-07T18:47:29.087-08:00
41726,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs8X4=,2455,2020-01-07T18:48:22.18-08:00,,JHY             ,2020-01-07T18:48:22.18-08:00
41727,85,,False,,0.5,AAAAAAAs8YA=,2455,2020-01-07T18:49:09.52-08:00,,JHY             ,2020-01-07T18:49:09.52-08:00
41728,34,,False,,0.5,AAAAAAAs8YM=,2455,2020-01-07T18:49:39.747-08:00,,JHY             ,2020-01-07T18:49:39.747-08:00
41730,35,,False,"<Structure><Attrib Name=""Conventional"" /></Structure>",0.5,AAAAAAAs8ts=,30939,2020-01-07T20:28:56.987-08:00,,rpfeiffer       ,2020-01-07T20:34:27.273-08:00
41731,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs8to=,30939,2020-01-07T20:29:01.983-08:00,,rpfeiffer       ,2020-01-07T20:34:27.273-08:00
41732,35,,False,"<Structure><Attrib Name=""Bipolar"" /><Attrib Name=""Ribbon"" /><Attrib Name=""Glutamate"" /></Structure>",0.5,AAAAAAAs8tk=,30939,2020-01-07T20:30:38.433-08:00,,rpfeiffer       ,2020-01-07T20:34:27.273-08:00
